Chromosome	Ploidy	Ploidy_rounded	Mean_coverage
contig00117	0.9045017461431651	1	82.77999990433455
contig00118	0.7066215011793001	1	64.6699998639524
contig00119	0.7979676563362222	1	73.02999999374151
contig00120	0.470716783905738	0	43.08000011369586
contig00121	1.3495410834669184	1	123.51000010408461
contig00122	0.866695803872195	1	79.32000006362796
contig00123	1.0501529708480084	1	96.11000000499189
contig00124	1.0124562914187025	1	92.65999989956617
contig00125	0.9495192305729482	1	86.90000008419156
contig00126	0.7574300694906803	1	69.32000004127622
contig00127	1.0949519207208473	1	100.20999990217388
contig00128	0.7856206275760129	1	71.89999992027879
contig00129	1.0021853147967188	1	91.7200001180172
contig00130	0.7600524477026349	1	69.56000009551644
contig00131	0.9746503479672974	1	89.19999995082617
contig00132	1.0686188801557392	1	97.80000002682209
contig00133	0.8708479008828645	1	79.69999998249114
